,clu
Bradi1g18930,3
Bradi5g09212,3
Bradi1g21730,3
Bradi1g18250,3
Bradi5g06277,3
Bradi5g15570,3
Bradi5g14750,3
Bradi1g14160,3
Bradi5g14701,3
Bradi1g14050,3
Bradi5g24680,3
Bradi1g22890,3
Bradi1g05340,3
Bradi1g04070,3
Bradi1g17970,3
Bradi5g09500,3
Bradi1g23780,3
Bradi5g20082,3
Bradi5g20330,3
Bradi1g13630,3
Bradi5g09320,3
Bradi1g03700,3
Bradi5g13597,3
Bradi1g19110,3
Bradi1g28715,3
Bradi1g11986,3
Bradi5g19570,3
Bradi1g06520,3
Bradi1g06755,3
Bradi4g37597,3
Bradi5g03327,3
Bradi5g12685,3
Bradi1g06851,3
Bradi1g27332,3
Bradi1g11680,3
Bradi1g06861,3
Bradi1g11210,3
Bradi5g11950,3
Bradi1g15010,3
Bradi4g43107,3
Bradi1g32933,3
Bradi5g20900,3
Bradi4g38460,3
Bradi5g12990,3
Bradi1g19660,3
Bradi4g38540,3
Bradi2g24987,7
Bradi5g16730,7
Bradi5g16817,7
Bradi2g24340,7
Bradi1g15500,7
Bradi3g47400,7
Bradi3g45080,7
Bradi1g15430,7
Bradi2g24400,7
Bradi3g45810,7
Bradi1g14220,7
Bradi3g47220,7
Bradi2g24327,7
Bradi3g45643,7
Bradi2g21340,7
Bradi1g15400,7
Bradi2g22880,7
Bradi2g24050,7
Bradi5g17500,7
Bradi1g14700,7
Bradi2g23060,7
Bradi5g17480,7
Bradi2g22670,7
Bradi5g17230,7
Bradi1g14580,7
Bradi2g22540,7
Bradi5g17080,7
Bradi2g23435,7
Bradi2g21870,7
Bradi2g23460,7
Bradi1g15050,7
Bradi3g46640,7
Bradi3g46620,7
Bradi1g15190,7
Bradi3g46922,7
Bradi2g23740,7
Bradi2g23750,7
Bradi2g23797,7
Bradi1g14370,7
Bradi2g23900,7
Bradi2g23540,7
Bradi3g44700,7
Bradi2g26406,7
Bradi2g25250,7
Bradi2g32627,7
Bradi2g32640,7
Bradi1g12550,7
Bradi3g39622,7
Bradi3g39620,7
Bradi3g39580,7
Bradi2g33260,7
Bradi1g12460,7
Bradi2g33300,7
Bradi2g33682,7
Bradi3g39300,7
Bradi3g39210,7
Bradi1g12190,7
Bradi1g12130,7
Bradi3g39110,7
Bradi2g34240,7
Bradi2g34250,7
Bradi3g38487,7
Bradi3g38493,7
Bradi3g38527,7
Bradi1g11530,7
Bradi1g11557,7
Bradi2g35850,7
Bradi2g32577,7
Bradi1g11620,7
Bradi2g35007,7
Bradi2g34900,7
Bradi1g11710,7
Bradi1g11890,7
Bradi3g38917,7
Bradi3g38950,7
Bradi1g11670,7
Bradi3g44600,7
Bradi2g32250,7
Bradi3g39950,7
Bradi2g25380,7
Bradi3g44596,7
Bradi1g14200,7
Bradi3g43060,7
Bradi3g42891,7
Bradi3g42884,7
Bradi3g42877,7
Bradi3g42400,7
Bradi1g13827,7
Bradi1g13700,7
Bradi3g42310,7
Bradi3g42180,7
Bradi5g17790,7
Bradi3g41740,7
Bradi3g41500,7
Bradi3g41377,7
Bradi3g41350,7
Bradi3g40180,7
Bradi1g12787,7
Bradi3g40190,7
Bradi2g31480,7
Bradi3g40270,7
Bradi3g40497,7
Bradi3g39870,7
Bradi2g30552,7
Bradi5g18241,7
Bradi3g40620,7
Bradi5g18206,7
Bradi5g18080,7
Bradi2g27330,7
Bradi3g40736,7
Bradi5g18490,7
Bradi5g16540,7
Bradi2g18710,7
Bradi3g47500,7
Bradi1g18910,7
Bradi5g13663,7
Bradi1g18730,7
Bradi2g09380,7
Bradi3g54807,7
Bradi5g13710,7
Bradi3g54341,7
Bradi5g13780,7
Bradi2g09860,7
Bradi3g54330,7
Bradi2g09995,7
Bradi3g54290,7
Bradi2g10240,7
Bradi2g10302,7
Bradi1g18500,7
Bradi1g18440,7
Bradi5g14040,7
Bradi2g10758,7
Bradi2g10850,7
Bradi1g18300,7
Bradi2g11100,7
Bradi3g53497,7
Bradi2g11550,7
Bradi1g18240,7
Bradi2g11860,7
Bradi2g11920,7
Bradi3g52780,7
Bradi2g12057,7
Bradi2g12150,7
Bradi3g55440,7
Bradi1g18220,7
Bradi2g08620,7
Bradi3g55810,7
Bradi3g57010,7
Bradi1g19940,7
Bradi1g19860,7
Bradi1g19816,7
Bradi2g06370,7
Bradi2g06413,7
Bradi2g06416,7
Bradi5g12120,7
Bradi3g56975,7
Bradi2g06620,7
Bradi2g06700,7
Bradi2g06740,7
Bradi2g06840,7
Bradi2g07090,7
Bradi2g07227,7
Bradi3g56522,7
Bradi5g12347,7
Bradi1g19550,7
Bradi2g07337,7
Bradi3g56470,7
Bradi2g07570,7
Bradi3g56410,7
Bradi2g07597,7
Bradi3g56380,7
Bradi3g56370,7
Bradi3g56350,7
Bradi3g56240,7
Bradi2g08300,7
Bradi5g13170,7
Bradi2g08600,7
Bradi3g52710,7
Bradi3g52697,7
Bradi1g18190,7
Bradi2g16570,7
Bradi3g50040,7
Bradi5g15942,7
Bradi3g49810,7
Bradi5g15950,7
Bradi5g16040,7
Bradi3g49797,7
Bradi2g17180,7
Bradi2g17350,7
Bradi5g16050,7
Bradi2g17540,7
Bradi2g17550,7
Bradi3g49590,7
Bradi2g18040,7
Bradi3g49480,7
Bradi1g16490,7
Bradi1g16230,7
Bradi1g15930,7
Bradi3g48880,7
Bradi5g16257,7
Bradi3g48680,7
Bradi3g48600,7
Bradi2g19540,7
Bradi2g19560,7
Bradi2g19690,7
Bradi3g48370,7
Bradi5g16510,7
Bradi3g47910,7
Bradi3g47770,7
Bradi2g16560,7
Bradi5g15850,7
Bradi2g16337,7
Bradi3g50110,7
Bradi3g52650,7
Bradi5g14160,7
Bradi4g37110,7
Bradi5g14367,7
Bradi2g13510,7
Bradi2g13520,7
Bradi2g13523,7
Bradi3g52266,7
Bradi3g52016,7
Bradi5g14590,7
Bradi2g14220,7
Bradi2g14330,7
Bradi2g14500,7
Bradi2g14520,7
Bradi3g47450,7
Bradi2g14567,7
Bradi3g51520,7
Bradi2g14940,7
Bradi1g17243,7
Bradi5g15640,7
Bradi3g51130,7
Bradi2g15690,7
Bradi3g51090,7
Bradi3g50857,7
Bradi3g50850,7
Bradi2g15890,7
Bradi2g16005,7
Bradi2g16120,7
Bradi2g16130,7
Bradi3g50230,7
Bradi2g14650,7
Bradi2g36770,7
Bradi2g39132,7
Bradi3g38090,7
Bradi3g16927,7
Bradi2g56890,7
Bradi2g57100,7
Bradi3g16900,7
Bradi2g57470,7
Bradi3g16740,7
Bradi3g16690,7
Bradi2g57630,7
